data_source,note,code,name,address,city,county,state,zip_code,AOR,date_of_last_use,date_of_first_use,latitude,longitude
locations.csv,"exact latitude, longitude (city)",BIGHOMT,BIG HORN COUNTY JAIL (MONTANA),COUNTY COURTHOUSE,HARDIN,BIG HORN,MT,59034,SLC,2009-03-11,3/4/00,45.732727,-107.608745
locations.csv,"exact latitude, longitude (city)",BIGHOWY,BIG HORN COUNTY JAIL (WYOMING),415 Murphy St,BASIN,BIG HORN,WY,82410,DEN,25/12/2007,16/05/2007,44.382788,-108.040123
sarahs research,Latitude Longitude based only on state,BIINCCO,,,,,CO,,,,,39.0598,-105.3111
locations.csv,"exact latitude, longitude (city)",BILHOLD,BILLINGS HOLD ROOM,2900 4TH AVE NORTH,BILLINGS,YELLOWSTONE,MT,59101,SLC,,,45.783884,-108.509563
sarahs research,Latitude Longitude based only on state,BIMDCAZ,BANNER IRONWOOD MED CTR,,,,AZ,,,,,33.7298,-111.4312
locations.csv,"exact latitude, longitude (city)",BINGHID,BINGHAM COUNTY JAIL,501 NORTH MAPLE,BLACKFOOT,BINGHAM,ID,83221,SLC,15/06/2008,29/01/1991,43.194573,-112.34457
locations.csv,"exact latitude, longitude (city)",BKLHOLD,BAKERFIELD HOLD,800 TRUXTUN,BAKERSFIELD,SUMMIT,CA,93301,SFR,2003-11-17,2011-02-08,35.37372,-119.01121
locations.csv,"exact latitude, longitude (city)",BLACKIA,BLACK HAWK COUNTY JAIL,225 E. 6TH STREET,WATERLOO,BLACK HAWK CO JAIL,IA,59523,SPM,2007-04-03,29/07/1996,42.497837,-92.333839
locations.csv,"exact latitude, longitude (city)",BLAINMT,BLAINE COUNTY JAIL,400 OHIO ST,CHINOOK,BLAINE,MT,59523,SLC,29/01/2003,20/12/1991,48.590912,-109.229434
locations.csv,"exact latitude, longitude (city)",BLANCTX,BLANCO COUNTY JAIL,400 S. US 28,JOHNSON CITY,BLANCO,TX,78636,SNA,24/06/2007,16/05/2006,30.288872,-98.408721
sarahs research,"exact latitude, longitude (city)",BLBNATX,BLUEBONNET DET FCLTY,,Anson,Jones,TX,,,,,32.755,-99.8963
